confidence_type,participant,bias_source,bias_direction,line_type,label,value
concurrent,S022,payoff,short,long,s2_2,5
concurrent,S022,payoff,short,short,s1_1,3
concurrent,S022,payoff,short,short,s1_2,1
concurrent,S022,payoff,short,short,s2_1,37
concurrent,S022,payoff,short,short,s2_2,79
concurrent,S023,mullerlyer,long,long,s1_1,46
concurrent,S023,mullerlyer,long,long,s1_2,48
concurrent,S023,mullerlyer,long,long,s2_1,21
concurrent,S023,mullerlyer,long,long,s2_2,5
concurrent,S023,mullerlyer,long,short,s1_1,21
concurrent,S023,mullerlyer,long,short,s1_2,2
concurrent,S023,mullerlyer,long,short,s2_1,55
concurrent,S023,mullerlyer,long,short,s2_2,42
concurrent,S023,mullerlyer,short,long,s1_1,56
concurrent,S023,mullerlyer,short,long,s1_2,23
concurrent,S023,mullerlyer,short,long,s2_1,34
concurrent,S023,mullerlyer,short,long,s2_2,7
concurrent,S023,mullerlyer,short,short,s1_1,11
concurrent,S023,mullerlyer,short,short,s1_2,1
concurrent,S023,mullerlyer,short,short,s2_1,40
concurrent,S023,mullerlyer,short,short,s2_2,68
concurrent,S024,baserate,long,long,s1_1,77
concurrent,S024,baserate,long,long,s1_2,159
concurrent,S024,baserate,long,long,s2_1,19
concurrent,S024,baserate,long,long,s2_2,15
concurrent,S024,baserate,long,short,s1_1,12
concurrent,S024,baserate,long,short,s1_2,0
concurrent,S024,baserate,long,short,s2_1,5
concurrent,S024,baserate,long,short,s2_2,73
concurrent,S024,baserate,short,long,s1_1,21
concurrent,S024,baserate,short,long,s1_2,44
concurrent,S024,baserate,short,long,s2_1,14
concurrent,S024,baserate,short,long,s2_2,11
concurrent,S024,baserate,short,short,s1_1,12
concurrent,S024,baserate,short,short,s1_2,4
concurrent,S024,baserate,short,short,s2_1,43
concurrent,S024,baserate,short,short,s2_2,211
concurrent,S025,mullerlyer,long,long,s1_1,40
concurrent,S025,mullerlyer,long,long,s1_2,55
concurrent,S025,mullerlyer,long,long,s2_1,17
concurrent,S025,mullerlyer,long,long,s2_2,8
concurrent,S025,mullerlyer,long,short,s1_1,8
concurrent,S025,mullerlyer,long,short,s1_2,2
concurrent,S025,mullerlyer,long,short,s2_1,45
concurrent,S025,mullerlyer,long,short,s2_2,65
concurrent,S025,mullerlyer,short,long,s1_1,55
concurrent,S025,mullerlyer,short,long,s1_2,12
concurrent,S025,mullerlyer,short,long,s2_1,20
concurrent,S025,mullerlyer,short,long,s2_2,33
concurrent,S025,mullerlyer,short,short,s1_1,3
concurrent,S025,mullerlyer,short,short,s1_2,0
concurrent,S025,mullerlyer,short,short,s2_1,18
concurrent,S025,mullerlyer,short,short,s2_2,99
concurrent,S026,baserate,long,long,s1_1,98
concurrent,S026,baserate,long,long,s1_2,161
concurrent,S026,baserate,long,long,s2_1,11
concurrent,S026,baserate,long,long,s2_2,0
concurrent,S026,baserate,long,short,s1_1,8
concurrent,S026,baserate,long,short,s1_2,0
concurrent,S026,baserate,long,short,s2_1,47
concurrent,S026,baserate,long,short,s2_2,35
concurrent,S026,baserate,short,long,s1_1,31
concurrent,S026,baserate,short,long,s1_2,46
concurrent,S026,baserate,short,long,s2_1,13
concurrent,S026,baserate,short,long,s2_2,0
concurrent,S026,baserate,short,short,s1_1,17
concurrent,S026,baserate,short,short,s1_2,1
concurrent,S026,baserate,short,short,s2_1,153
concurrent,S026,baserate,short,short,s2_2,99
concurrent,S027,mullerlyer,long,long,s1_1,52
concurrent,S027,mullerlyer,long,long,s1_2,58
concurrent,S027,mullerlyer,long,long,s2_1,9
concurrent,S027,mullerlyer,long,long,s2_2,1
concurrent,S027,mullerlyer,long,short,s1_1,20
concurrent,S027,mullerlyer,long,short,s1_2,8
concurrent,S027,mullerlyer,long,short,s2_1,63
concurrent,S027,mullerlyer,long,short,s2_2,29
concurrent,S027,mullerlyer,short,long,s1_1,58
concurrent,S027,mullerlyer,short,long,s1_2,41
concurrent,S027,mullerlyer,short,long,s2_1,19
concurrent,S027,mullerlyer,short,long,s2_2,2
concurrent,S027,mullerlyer,short,short,s1_1,5
concurrent,S027,mullerlyer,short,short,s1_2,0
concurrent,S027,mullerlyer,short,short,s2_1,42
concurrent,S027,mullerlyer,short,short,s2_2,73
concurrent,S028,baserate,long,long,s1_1,137
concurrent,S028,baserate,long,long,s1_2,129
concurrent,S028,baserate,long,long,s2_1,4
concurrent,S028,baserate,long,long,s2_2,0
concurrent,S028,baserate,long,short,s1_1,29
concurrent,S028,baserate,long,short,s1_2,0
concurrent,S028,baserate,long,short,s2_1,26
concurrent,S028,baserate,long,short,s2_2,35
concurrent,S028,baserate,short,long,s1_1,29
concurrent,S028,baserate,short,long,s1_2,46
concurrent,S028,baserate,short,long,s2_1,14
concurrent,S028,baserate,short,long,s2_2,1
concurrent,S028,baserate,short,short,s1_1,27
concurrent,S028,baserate,short,short,s1_2,3
concurrent,S028,baserate,short,short,s2_1,158
concurrent,S028,baserate,short,short,s2_2,82
concurrent,S029,payoff,long,long,s1_1,41
concurrent,S029,payoff,long,long,s1_2,75
concurrent,S029,payoff,long,long,s2_1,4
concurrent,S029,payoff,long,long,s2_2,0
concurrent,S029,payoff,long,short,s1_1,52
concurrent,S029,payoff,long,short,s1_2,3
concurrent,S029,payoff,long,short,s2_1,41
concurrent,S029,payoff,long,short,s2_2,24
concurrent,S029,payoff,short,long,s1_1,37
concurrent,S029,payoff,short,long,s1_2,61
concurrent,S029,payoff,short,long,s2_1,20
concurrent,S029,payoff,short,long,s2_2,2
concurrent,S029,payoff,short,short,s1_1,10
concurrent,S029,payoff,short,short,s1_2,1
concurrent,S029,payoff,short,short,s2_1,63
concurrent,S029,payoff,short,short,s2_2,46
concurrent,S030,mullerlyer,long,long,s1_1,47
concurrent,S030,mullerlyer,long,long,s1_2,53
concurrent,S030,mullerlyer,long,long,s2_1,19
concurrent,S030,mullerlyer,long,long,s2_2,1
concurrent,S030,mullerlyer,long,short,s1_1,21
concurrent,S030,mullerlyer,long,short,s1_2,1
concurrent,S030,mullerlyer,long,short,s2_1,38
concurrent,S030,mullerlyer,long,short,s2_2,60
concurrent,S030,mullerlyer,short,long,s1_1,51
concurrent,S030,mullerlyer,short,long,s1_2,40
concurrent,S030,mullerlyer,short,long,s2_1,26
concurrent,S030,mullerlyer,short,long,s2_2,3
concurrent,S030,mullerlyer,short,short,s1_1,19
concurrent,S030,mullerlyer,short,short,s1_2,1
concurrent,S030,mullerlyer,short,short,s2_1,42
concurrent,S030,mullerlyer,short,short,s2_2,58
concurrent,S031,payoff,long,long,s1_1,74
concurrent,S031,payoff,long,long,s1_2,43
concurrent,S031,payoff,long,long,s2_1,3
concurrent,S031,payoff,long,long,s2_2,0
concurrent,S031,payoff,long,short,s1_1,68
concurrent,S031,payoff,long,short,s1_2,7
concurrent,S031,payoff,long,short,s2_1,36
concurrent,S031,payoff,long,short,s2_2,9
concurrent,S031,payoff,short,long,s1_1,30
concurrent,S031,payoff,short,long,s1_2,7
